English Text,Chinese Translation
"<h5><strong>ALSO: Deckmancer, Destiny Duelist, High Roller</strong></h5><p><strong>Aces of Cards</strong> make use of special decks to perceive the constant fluctuations of the stream of souls. Each deck is inextricably connected to its user and reflects their taste and personality: by drawing specific combinations at the right moment, an Ace of Cards manipulates magical energy to produce supernatural effects. In some worlds, Aces of Cards duel against each other using their personal decks, in a quest for glory or in order to obtain precious artifacts.</p><hr /><h5><strong>ACE OF CARDS FREE BENEFITS</strong></h5><ul><li>Permanently increase your maximum Hit Points <strong>or</strong> Mind Points by 5 (your choice).</li></ul><h2><strong>ACE OF CARDS SKILLS</strong></h2><p>@UUID[Compendium.projectfu.skills.Item.sfIxI8t0XlJMMVFC]{Double or Nothing}</p><p>Before you perform an Accuracy Check, a Magic Check for an offensive spell ( @ICON[offensive] ), or a Check to advance or turn back a Clock, you may declare <strong>double or nothing</strong>. If you do and the Check triggers a <strong>critical success</strong>, double the damage dealt by that attack or spell or the filled or erased sections of that Clock, respectively; however, any other Result is considered a <strong>critical failure</strong>.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.tFbGtEfIudpck8vL]{High or Low}</p><p>When you generate a <strong>critical success</strong> or a <strong>critical failure</strong>, you may draw 1 card from your <strong>deck</strong>. If you do, discard 1 card from your <strong>hand</strong>.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.5zF6JTf6nhKbXr69]{Magic Cards} <strong>(SL3)</strong></p><p>You gain a <strong>deck</strong>, a <strong>hand</strong>, and a <strong>discard pile</strong>.</p><p>During a conflict, you may use an action and spend up to <strong>【10 + (SL × 5)】</strong> Mind Points (minimum 10). If you do, resolve 1 card from your <strong>hand</strong> for every 5 MP spent this way (to a maximum of 5 cards; these cards form a <strong>set</strong>). After you resolve the effect of the <strong>set</strong> (if any), discard these cards and draw that many cards from your <strong>deck</strong>.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.ry0CUZsygSpySLBZ]{Mulligan} <strong>(SL5)</strong></p><p>At the end of your turn during a conflict, you may discard up to <strong>【SL】</strong> cards from your <strong>hand</strong>. If you do, draw that many cards from your <strong>deck</strong>.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.dHurcgjvmwVBJPvM]{Trap Card} <strong>(SL4)</strong></p><p>After an enemy you can see performs an action during a conflict, you may declare one of your <strong>deck</strong>'s <strong>suits</strong> (after the action has been resolved) and put the first card on the bottom of your <strong>deck</strong> in your <strong>discard pile</strong>, face up. If that card is a <strong>joker</strong> or its <strong>suit</strong> matches the one you declared, you may immediately perform the <strong>Spell</strong> action for free, casting a spell with a <strong>total Mind Point cost equal to or lower than</strong> <strong>【SL × 5】</strong> (you must still pay its MP cost).</p><h2><strong>MANAGING THE DECK</strong></h2><ul><li><p>For <strong>deck</strong> breakdown and a list of Effects, refer to: @UUID[Compendium.projectfu.handouts.JournalEntry.hs3GyWJls59GhaNz]{Deck Rules}</p></li></ul>",
Arcanist,
"<h5><strong>ALSO: Avatar, Chosen, Summoner</strong></h5><p><strong>Arcanists </strong>can fall into a deep trance and temporarily project a considerable portion of their soul outside the body, giving it physical form. Surrounded by this magical shroud, the Arcanist gains a variety of supernatural abilities; these summoned forms are said to be manifestations of the ancestral souls belonging to mythical entities of legend, known as the Arcana. In some worlds, the Arcana are even worshiped as deities.</p><hr /><h5><strong>ARCANIST FREE BENEFITS</strong></h5><ul><li><p>Permanently increase your maximum Mind Points by 5.</p></li></ul><h2><strong>ARCANIST SKILLS</strong></h2><p>@UUID[Compendium.projectfu.skills.Item.hEj8s21iAOPhDtJN]{Arcane Circle} <strong>(SL4)</strong></p><p>After you willingly dismiss an Arcanum on your turn during a conflict (see <strong>Core Rulebook</strong>, page <strong>178</strong>), if that Arcanum had not been <strong>summoned</strong> during this same turn and you have an <strong>arcane</strong> weapon equipped, you may immediately perform the <strong>Spell</strong> action for free. The spell you cast this way must have a <strong>total Mind Point cost of 【SL × 5】 or lower</strong> (you must still pay the spell’s MP cost).</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.ZTEuKRcX9erp1NDC]{Arcane Regeneration} <strong>(SL2)</strong></p><p>When you summon an Arcanum, you immediately recover <strong>【SL × 5】</strong> Hit Points.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.gbkA1CRgQ9OxPstd]{Bind and Summon}</p><p>You may <strong>bind</strong> Arcana to your soul and <strong>summon</strong> them later. The Game Master will tell you the details of each binding process when you first encounter the Arcanum in question. You may use an action and spend 40 Mind Points to <strong>summon</strong> an Arcanum you have bound: the details of this process are explained on the next page. If you take this Skill at character creation, you begin play with one Arcanum of your choice already bound to you, chosen from the list on the next pages. Other than that, you may only obtain new Arcana through exploration and story progression.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.aIbwfdDFTSRgKxxx]{Emergency Arcanum} <strong>(SL6)</strong></p><p>As long as you are in <strong>Crisis</strong>, the cost for summoning your Arcana is reduced by <strong>【SL × 5】</strong> Mind Points.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.Jaxs87P2Q8AfKwWO]{Ritual Arcanism}</p><p>You may perform Rituals of the Arcanism discipline, as long as their effects fall within the domains of one or more Arcana you have bound (see <strong>Core Rulebook</strong>, page <strong>178</strong>). Arcanism Rituals use <strong>【WLP + WLP】</strong> for the Magic Check.</p><h2><strong>THE ARCANA</strong></h2><ul><li><p>For <strong>arcana</strong> breakdown and a list of Arcanums, refer to: @UUID[Compendium.projectfu.handouts.JournalEntry.sO33zynz6ZsBDpFR]{Arcana Rules}</p></li><li><p>To <strong>automate</strong>, VTT Instructions can be found here: @UUID[Compendium.projectfu.handouts.JournalEntry.sO33zynz6ZsBDpFR.JournalEntryPage.MQShQEsSnZ9ch3bs]{Arcana VTT Instructions}</p></li></ul>",
Chanter,
"<h5><strong>ALSO: Bard, Idol, Troubadour</strong></h5><p>Whether tracing their fingers on a delicate harp, dazing an unprepared audience with the sheer power of their vocals, or happily diving into a crowd of delirious fans, <strong>Chanters </strong>could be described as magical one-person orchestras! A Chanter’s abilities reach way beyond the normal limits of music and singing: they rely on the strength of their souls and weave magical energy into songs, supporting their allies during tense situations.</p><hr /><h5><strong>CHANTER FREE BENEFITS</strong></h5><ul><li>Permanently increase your maximum Mind Points by 5.</li></ul><h2><strong>CHANTER SKILLS</strong></h2><p>@UUID[Compendium.projectfu.skills.Item.bt4jQZ557iLHlazO]{Magichant} <strong>(SL10)</strong></p><p>On your turn during a conflict scene, you may use an action and spend a variable amount of MP to weave voice and music into a magical effect known as a <strong>verse</strong>.</p><p>You may only sing <strong>one verse</strong> per turn, even if you have access to multiple actions.</p><p>When you first acquire this Skill, you learn <strong>all three volumes</strong>, plus <strong>one key</strong> and <strong>one tone</strong>. Whenever you acquire this Skill again, you may learn <strong>one key</strong> or <strong>one tone</strong> (your choice).</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.kdL9oQYefqNlWqyD]{Resonance} <strong>(SL3)</strong></p><p>After you affect one or more enemies with a <strong>verse</strong>, if you have an <strong>arcane </strong>weapon equipped, you may choose one option: until the start of your next turn, your allies deal <strong>【SL】 </strong>extra damage to those enemies; <strong>or </strong>until the start of your next turn, you recover <strong>【SL】 </strong>Mind Points <strong>every time</strong> one of those enemies suffers damage (if the same source deals damage to two or more of those enemies at the same time, you recover <strong>【SL】 </strong>MP for each damaged enemy).</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.huB2uoP2PAHoOp8T]{Siren's Song}</p><p>You gain the ability to perform Rituals of the <strong>Ritualism </strong>discipline; <strong>additionally</strong>, you may use <strong>Ritualism </strong>to create <strong>hearing-based illusions</strong>.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.9xjUyytWiDxFhqdV]{Sound Barrier} <strong>(SL5)</strong></p><p>After you sing a <strong>verse </strong>with <strong>medium </strong>or <strong>high volume</strong>, all <strong>physical </strong>damage you suffer until the start of your next turn is reduced by <strong>【SL】</strong>(applied <strong>before </strong>Affinities).</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.pQVuklFnMKXxHTFr]{Vibrato}</p><p>After you sing a verse with <strong>low </strong>or <strong>medium volume</strong>, you may perform a <strong>free attack</strong> with a weapon you have equipped; treat your <strong>High Roll (HR)</strong> as 0 when calculating damage dealt by this attack.</p><h2><strong>VERSES</strong></h2><ul><li><p>For <strong>verse</strong> breakdown and a list of Keys and Tones, refer to: @UUID[Compendium.projectfu.handouts.JournalEntry.q4PpsRwoiMTRKUeJ]{Verses Rules}</p></li><li><p>To <strong>automate</strong>, VTT Instructions can be found here: @UUID[Compendium.projectfu.handouts.JournalEntry.q4PpsRwoiMTRKUeJ.JournalEntryPage.W6dLZ4wOhSMKKwsC]{Verses VTT Instructions}</p></li></ul>",
Chimerist,
"<h5><strong>ALSO: Druid, Shapeshifter, Wild Mage</strong></h5><p><strong>Chimerists</strong> gather their power from the souls of the monsters and beasts they encounter. By manipulating their inner wild energy, these mages may mimic the magical abilities of monsters and have reached a supernatural understanding of feral creatures. Chimerists frequently rely on their toughness and physical prowess in addition to magic; they are often seen traveling the world in search of rare and enchanted creatures.</p><hr /><h5><strong>CHIMERIST FREE BENEFITS</strong></h5><ul><li>Permanently increase your maximum Mind Points by 5.</li><li>You may perform Rituals whose effects fall within the <strong>Ritualism</strong> discipline.</li></ul><h2><strong>CHIMERIST SKILLS</strong></h2><p>@UUID[Compendium.projectfu.skills.Item.c46SCybV1gtiHbL4]{Consume} <strong>(SL5)</strong></p><p>After you deal damage to one or more creatures with a spell, if you have an <strong>arcane</strong>, <strong>dagger</strong>, or <strong>flail</strong> weapon equipped, you recover <strong>【SL × 2】</strong> Mind Points.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.YLWWM3IqnFCAGoUc]{Feral Speech}</p><p>You can communicate with creatures of the <strong>beast, monster</strong>, and <strong>plant</strong> Species.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.EBbeGD1rgPmN6Y6R]{Pathogenesis}</p><p>When you deal damage to one or more creatures with one of your Chimerist spells, each of those creatures that share their <strong>Species</strong> with the creature you originally learned that spell from suffers <strong>poisoned</strong>.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.99bT5ymNnmR60Kmf]{Ritual Chimerism}</p><p>You may perform Rituals whose effects fall within the <strong>Chimerism</strong> discipline. When you acquire this Skill, choose <strong>【INS + WLP】 or 【MIG + WLP】</strong>.</p><p>From now on, your Chimerism Rituals will use the chosen Attributes for the Magic Check.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.yiX5sLJLKBh3UMmz]{Spell Mimic} <strong>(SL10)</strong></p><p>When you see a creature belonging to the <strong>beast, monster</strong>, or <strong>plant</strong> Species cast a spell, you may immediately choose to learn that spell as a Chimerist spell of your own: if you do, record the <strong>Species</strong> of the creature you learned it from. When you first acquire this Skill, choose <strong>【INS + WLP】 or 【MIG + WLP】</strong>. From now on, your offensive <br />( @ICON[offensive] ) Chimerist spells will use the chosen Attributes for the Magic Check, regardless of the Attributes used by the creature you learned the spell from. You may have <strong>up to 【SL + 2】 different Chimerist spells</strong> memorized this way. If you want to memorize a new Chimerist spell but are already at your limit, you must forget one of your old spells and replace it with the new spell.</p>",
Commander,
"<h5><strong>ALSO: Prince, Queen, Shōgun</strong></h5><p><strong>Commanders </strong>are leaders and inspiring figures. Some are of noble blood, but a majority have earned the loyalty of their comrades on the battlefield, where their iron resolve and tactical prowess were tested time and time again. When thinking about what a Commander might look like, don't feel bound to the idea of a knight in shining armor: bandit captains, fallen nobles and students of warfare are all perfect examples of what this Class may represent.</p><hr /><h5><strong>COMMANDER BENEFITS</strong></h5><ul><li>Permanently increase your maximum Hit Points by 5.</li><li>Gain the ability to equip <strong>martial melee weapons</strong> and <strong>martial armor</strong>.</li></ul><h2><strong>COMMANDER SKILLS</strong></h2><p>@UUID[Compendium.projectfu.skills.Item.FGihIPfif7yWsBCp]{Bishop's Edict} <strong>(SL5)</strong></p><p>During a conflict, you may use an action and spend 10 Mind Points to choose one option: all MP costs are doubled; <strong>or </strong>all sources of damage deal <strong>【SL × 3】</strong>extra damage.</p><p>The chosen effect lasts until the start of your next turn.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.VhWG5AXdBZ8hL4xr]{Charging Cavalry} <strong>(SL5)</strong></p><p>During a conflict, you may use an action and spend 10 MP to choose one ally that can hear you. That ally may immediately perform a <strong>free attack</strong> with a weapon they have equipped (or with a <strong>basic attack</strong> if they are an NPC). They gain a bonus equal to <strong>【SL 3】 </strong>to the Accuracy Check, but treat their<strong> High Roll (HR)</strong> as 0 when calculating damage.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.4ymBr3vRdPHNxIKC]{Crushing Chariot}</p><p>After you use <strong>Bishop's Edict</strong>, <strong>Charging Cavalry</strong> or <strong>King's Castle</strong>, you may choose another Player Character that can hear you who has yet to take a turn during this round. That character may take their turn immediately after yours during this round.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.79xGJD8jn4zGzYpX]{King's Castle} <strong>(SL4)</strong></p><p>During a conflict, you may use an action and spend 10 Mind Points to choose one option: no creature can recover Hit Points or Mind Points; or all effects that restore Mind Points restore <strong>【SL × 5】 </strong>additional Mind Points. The chosen effect lasts until the start of your next turn.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.HC27DMHBE4M54y6Y]{Queen's Gambit} <strong>(SL6)</strong></p><p>During a conflict, you may use an action to perform a <strong>free attack</strong> with a weapon you have equipped, treating your <strong>High Roll (HR) </strong>as 0 when calculating damage. After the attack is resolved, choose one option: one ally who is able to hear you recovers <strong>【5 + (SL × 5)】 </strong>Hit Points; or you may immediately use a Skill syou acquired among <strong>Bishop's Edict</strong>, <strong>Charging Cavalry</strong> or <strong>King's Castle</strong> for free (spending the appropriate MP).</p>",
Dancer,
"<h5><strong>ALSO: Acrobat, Jester, Swashbuckler</strong></h5><p><strong>Dancers</strong> are those who have trained their bodies to achieve exceptional coordination and flexibility, be it to impress a crowd with their gymnastics or to perform ancient steps meant to keep evil at bay. The more gifted Dancers may direct the flow of spiritual force through repeated and precise motions, enhancing their physical abilities and manifesting magical effects. They are surprisingly capable combatants, if sometimes a little... overdramatic.</p><hr /><h5><strong>DANCER BENEFITS</strong></h5><ul><li>Permanently increase your maximum Hit Points <strong>or</strong> Mind Points by 5 (your choice).</li></ul><h2><strong>DANCER SKILLS</strong></h2><p>@UUID[Compendium.projectfu.skills.Item.y0dACFzoQBBMZOEk]{Dance} <strong>(SL10)</strong></p><p>Each time you take this Skill, you learn a <strong>dance</strong> (see <strong>High Fantasy Atlas</strong>, page <strong>144</strong>)</p><p>On your turn during a conflict scene, if you have no <strong>martial armor</strong> equipped, you may spend 10 Mind Points to perform a dance you have learned. This doesn't require an action but can only be done before or after an action, and only once per turn. If you already performed a different dance during your previous turn in this scene, the cost of the new dance is reduced to 5 Mind Points. Some <strong>dances</strong> are <strong>instantaneous</strong> and resolve immediately, while others have effects that last <strong>until the start of your next turn</strong>.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.3mqtdzwMU62J1ogW]{Follow My Lead}</p><p>When you perform a <strong>dance</strong> with a <strong>duration</strong> of ""Until the start of your next turn,"" you may spend 10 additional Mind Points. If you do, choose one ally you can see towards whom you have a Bond of <strong>affection</strong>: apply the benefits of the <strong>dance</strong> to that ally as well as yourself (the benefits still last until the start of your next turn).</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.R0F1K6i1gjNWNklq]{Frenetic Footwork} <strong>(SL2)</strong></p><p>After you perform a <strong>dance</strong> with a <strong>duration</strong> of ""Until the start of your next turn,"" you gain a bonus equal to <strong>【SL × 2】</strong> to all Opposed Checks that rely on <strong>acrobatics</strong>, <strong>coordination</strong>, or <strong>speed</strong> until the start of your next turn.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.DF1eCfsBw1kYOAH6]{Quick-Change}</p><p>After you perform a <strong>dance</strong>, you may perform the <strong>Equipment</strong> action for free.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.L4LqyZu7NPjavyaf]{Wardancer} <strong>(SL5)</strong></p><p>After you perform a <strong>dance</strong>, your attacks with <strong>brawling</strong>, <strong>dagger</strong>, <strong>flail</strong>, and <strong>thrown weapons</strong> deal <strong>【SL】</strong> extra damage until the start of your next turn. If you have an <strong>arcane weapon equipped, offensive spells</strong> ( @ICON[offensive] ) you cast also deal <strong>【SL】</strong> extra damage until the start of your next turn.</p><h2><strong>DANCES</strong></h2><ul><li><p>For <strong>dance</strong> breakdown and a list of Dances, refer to:<strong> </strong>@UUID[Compendium.projectfu.handouts.JournalEntry.cH2N0pg4NeNZpaM5]{Dances Rules}</p></li></ul>",
Darkblade,
"<h5>ALSO: Avenger, Black Knight, Death Knight</h5><p><strong>Darkblades </strong>are somber and powerful warriors who hide a sorrowful past. Due to tragic experiences on the battlefield or in personal life, their souls have developed an affinity for pain and shadow energy. An unlikely hero to say the very least, a Darkblade may now sacrifice their lifeforce to unleash mighty attacks and is able to draw resolve, power and even knowledge from the suffering they experience.</p><hr /><h5>DARKBLADE FREE BENEFITS</h5><ul><li>Permanently increase your maximum Hit Points by 5.</li><li>Gain the ability to equip <strong>martial melee weapons</strong> and <strong>martial armor</strong>.</li></ul><h2>DARKBLADE SKILLS</h2><p>@UUID[Compendium.projectfu.skills.Item.JPVEY9p8zsGidKJq]{Agony} <strong>(SL5)</strong></p><p>After you deal damage to one or more creatures, if you have a <strong>Bond</strong> towards at least one of those creatures, you may recover <strong>【SL × 2】</strong> Hit Points and <strong>【SL × 2】</strong>Mind Points.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.CEP3nER80UBDH7a9]{Dark Blood}</p><p>As long as you are in Crisis, you have Resistance to <strong>dark</strong> damage and <strong>poison</strong> damage.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.e6ids95gOPher40d]{Heart of Darkness}</p><p>Once per scene upon entering <strong>Crisis</strong>, you may choose a specific creature you can see that you don’t have a <strong>Bond</strong> towards. If you do, create a <strong>Bond</strong> of <strong>hatred</strong> towards that creature.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.YkMaFGnNoWMo6k1U]{Painful Lessons} <strong>(SL3)</strong></p><p>After another creature causes you to lose Hit Points (with an attack, a spell, or any other method), you may immediately perform the <strong>Study</strong> action on that creature (see <strong>Core Rulebook</strong>, page <strong>74</strong>) for free. If you do, gain a bonus equal to <strong>【SL】 </strong>to your Check.</p><p>Remember, you can study the same aspect of a creature only once.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.W5hE9L8x7AsJI7a1]{Shadow Strike} <strong>(SL5)</strong></p><p>You have learned to channel your vital force into your attacks. You may use an action to perform a <strong>Shadow Strike</strong>: roll your current <strong>Might</strong> die and lose an amount of Hit Points equal to <strong>【the number rolled on your Might die】</strong>. If this didn’t reduce your Hit Points to 0, you may perform a <strong>free attack</strong> with a weapon you have equipped: if this attack hits one or more targets, it deals extra damage equal to <strong>【SL + the number rolled on your Might die】</strong>. However, all damage dealt by this attack becomes <strong>dark</strong> and its damage type cannot be changed.</p>",
Elementalist,
"<h5><strong>ALSO: Battle Mage, Geomancer, Sorcerer</strong></h5><p>An <strong>Elementalist </strong>has learned to channel the souls that flow within the basic elements of creation: Air, Earth, Fire and Water. Some of them develop complex spells to contain the powerful energies of nature; others seek its protection in harmony and communion. Elemental magic can be highly destructive, causing damage and inflicting negative status effects. Due to this, there are many who would covet an Elementalist’s abilities… often for nefarious purposes.</p><hr /><h5><strong>ELEMENTALIST FREE BENEFITS</strong></h5><ul><li>Permanently increase your maximum Mind Points by 5</li><li>You may perform Rituals whose effects fall within the <strong>Ritualism </strong>discipline.</li></ul><h2><strong>ELEMENTALIST SKILLS</strong></h2><p>@UUID[Compendium.projectfu.skills.Item.muhtqtJ6av32K34Z]{Cataclysm} <strong>(SL3)</strong></p><p>When you cast an <strong>instantaneous </strong>spell, if you have an <strong>arcane </strong>weapon equipped, you may <strong>increase the spell’s total MP cost</strong> by up to <strong>【SL × 10】 </strong>Mind Points. If you do so and the spell deals damage to one or more creatures, it will deal 5 extra damage to each creature for every 10 Mind Points by which you increased its total MP cost.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.zlmL0suZwTCQYzE5]{Elemental Magic} <strong>(SL10)</strong></p><p><span class=""fontstyle0"">Each time you acquire this Skill, learn one Elementalist spell (see <strong>Core Rulebook</strong>, page <strong>188</strong>).<br />Offensive </span>( @ICON[offensive] ) <span class=""fontstyle0"">Elementalist spells use </span><span class=""fontstyle3""><strong>【</strong></span><span class=""fontstyle4""><strong>INS + WLP</strong></span><span class=""fontstyle3""><strong>】 </strong></span><span class=""fontstyle0"">for the Magic Check.</span> </p><hr /><p>@UUID[Compendium.projectfu.skills.Item.b5zzfsWN7h5ugrnW]{Magic Artillery} <strong>(SL3)</strong></p><p>When you cast an offensive ( @ICON[offensive] ) spell, if you have an <strong>arcane </strong>weapon equipped, you gain a bonus to your Magic Check equal to <strong>【SL × 2】</strong> .</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.qgy43lWGmJ2YGhTp]{Ritual Elementalism}</p><p>You may perform Rituals whose effects fall within the <strong>Elementalism </strong>discipline. <br />Elementalism Rituals use <strong>【INS + WLP】 </strong>for the Magic Check.</p><hr /><p>@UUID[Compendium.projectfu.skills.Item.v6rTedHMjbLuLdN3]{Spellblade} <strong>(SL4)</strong></p><p>When you cast an offensive ( @ICON[offensive] ) spell targeting a <strong>single creature</strong>, if the spell has a <strong>total Mind Point cost of 【SL × 10】or lower </strong>and you have one or more <strong>bow</strong>, <strong>brawling</strong>, <strong>dagger</strong>, <strong>flail</strong>, <strong>spear </strong>or <strong>sword </strong>weapons equipped, you may choose one of those weapons. If you do, your Magic Check for the spell will use the chosen weapon’s Accuracy Check formula; for instance, the Magic Check for an Elementalist spell cast through a <strong>bronze sword</strong> (<strong>Core Rulebook</strong>, page <strong>131</strong>) will be <strong>【DEX + MIG】</strong>+1 instead of <strong>【INS + WLP】 </strong>.</p><h3 id=""elementalist-skills""><strong>ELEMENTALIST SPELLS</strong></h3><ul><li><p>For <strong>spell</strong> breakdown and a list of Elemental Spells, refer to: @UUID[Compendium.projectfu.handouts.JournalEntry.hK8r8lsQNaknSqdq]{Elementalist Rules}</p></li></ul>",
Entropist,
